ID,SORTIMENT,TYPERING,JAAR_VAN_AANPLANT,STRAATNAAM,WOONPLAATS,RD_XCOORD,RD_YCOORD,longitude,latitude
300917,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100533,545","474292,71",4.58953722717961,52.2539763414738
988692,Fagus sylvatica 'Purpurea',Monumentale Boom,1895,Aalsmeerderweg,Rozenburg,"109980,836","476526,873",4.72758673546884,52.2749065989718
739992,Tilia platyphyllos,Monumentale Boom,1935,Weteringweg,Leimuiderbrug,"105835,184","471626,135",4.66756078364365,52.230509191285
739994,Tilia platyphyllos,Monumentale Boom,1935,Weteringweg,Leimuiderbrug,"105831,744","471622,827",4.66751091605126,52.2304791555445
944681,Aesculus hippocastanum,Monumentale Boom,1935,Leimuiderdijk,Rijsenhout,"109009,39","474450,231",4.71363629266003,52.256163356781
1006431,Tilia vulgaris 'Pallida',Monumentale Boom,1935,Leimuiderdijk,Rijsenhout,"108819,108","474210,664",4.71088232069074,52.2539944355087
1100883,Cedrus libani 'Glauca',Monumentale Boom Landel. Lijst,1950,Burg. Amersfoordtlaan,Badhoevedorp,"113828,518","483522,565",4.783106677344,52.3380786548561
802433,Tilia vulgaris,Monumentale Boom,1950,Hoofdweg,Hoofddorp,"106723,409","478908,473",4.67952265544551,52.2960346895079
988691,Fagus sylvatica 'Purpurea',Monumentale Boom,1895,Aalsmeerderweg,Rozenburg,"109987,422","476535,214",4.72768212203962,52.27498210125
1058985,Aesculus hippocastanum,Monumentale Boom,1935,Hoofdweg,Lijnden,"111661,53","484408,376",4.7511991600334,52.3458731466067
398225,Aesculus hippocastanum,Monumentale Boom,1950,Spieringweg,Zwaanshoek,"102722,684","480533,774",4.62062995449443,52.3102762671595
398226,Aesculus hippocastanum,Monumentale Boom,1950,Spieringweg,Zwaanshoek,"102733,338","480521,65",4.62078804258927,52.310168323744
1063941,Aesculus hippocastanum,Monumentale Boom,1915,Sloterweg,Badhoevedorp,"111982,943","481763,167",4.75625305869612,52.3221257042825
988688,Aesculus hippocastanum,Monumentale Boom,1915,Aalsmeerderweg,Rozenburg,"109998,064","476546,953",4.72783647898015,52.275088473071
275234,Fraxinus excelsior,Monumentale Boom,1950,Hoofdweg,Abbenes,"101149,468","472661,486",4.59881586704152,52.2393769534238
680678,Aesculus hippocastanum,Monumentale Boom,1895,IJweg,Hoofddorp,"105465,084","480676,232",4.66081926135693,52.311809879275
680679,Aesculus hippocastanum,Monumentale Boom,1895,IJweg,Hoofddorp,"105459,992","480681,023",4.66074389312527,52.3118524849501
357062,Acer pseudoplatanus,Waardevolle Boom,1915,IJweg,Nieuw-Vennep,"102276,438","477019,807",4.61463504472951,52.2786539774123
295276,Salix x sepulcralis 'Chysocoma',Monumentale Boom,1915,IJweg,Nieuw-Vennep,"101307,766","475949,162",4.60061206820071,52.2689386966245
278675,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101120,778","472581,096",4.59840865709797,52.2386516921606
1033549,Tilia platyphyllos,Monumentale Boom,1935,Schipholweg,Lijnden,"112229,492","483980,198",4.75958798228001,52.342069515824
1033548,Tilia platyphyllos,Monumentale Boom,1935,Schipholweg,Lijnden,"112232,937","483977,014",4.75963893201642,52.3420411718604
1033545,Tilia platyphyllos,Monumentale Boom,1935,Schipholweg,Lijnden,"112240,87","483970,219",4.75975620320068,52.3419807241052
1033546,Tilia platyphyllos,Monumentale Boom,1935,Schipholweg,Lijnden,"112244,122","483967,002",4.75980432126369,52.3419520600524
1033547,Tilia platyphyllos,Monumentale Boom,1935,Schipholweg,Lijnden,"112247,472","483963,848",4.75985387433114,52.3419239825735
1090207,Tilia platyphyllos,Monumentale Boom,1935,Schipholweg,Lijnden,"112250,96","483960,712",4.75990546323964,52.3418960683673
905214,Populus x canescens,Monumentale Boom,1960,Kruisweg,Hoofddorp,"108498,83","479208,391",4.70550523166431,52.2988827042767
1033085,Aesculus hippocastanum,Monumentale Boom,1935,Hoofdweg,Lijnden,"111045,053","483831,286",4.7422279899375,52.3406379393962
939637,Tilia vulgaris,Monumentale Boom,1950,Kruisweg,Hoofddorp,"108287,884","479437,847",4.7023813029983,52.3009270032596
296612,Fraxinus excelsior,Monumentale Boom,1950,Hoofdweg,Abbenes,"101165,298","472648,15",4.59904972595122,52.2392586430334
